Facility Name,Longitude,Latitude,Organization Unit Rural_Urban_Semi,Organization Unit Type,Physical Address,Oral Pills (contraception),Injectables,IUDs (contraception),Implants (contraception),Female Sterilization (contraception),Male Sterilization (contraception),Male Medical Circumcision (MMC),TB,Maternal Health,Mental Health,Child Health,Oral health services,Rehabilitation Services,Minor Ailments,Sexually Transmitted Infections Screenings,HIV Testing,HIV Treatment (ART),Oral PrEP,Termination of Pregnancy - 1st Trimester,Termination of Pregnancy - 2nd Trimester
Clicks Bloemfontein Pharm,26.229231,-29.089109,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Dihlabeng Pharm,26.22492,-29.118349,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Dynarc Walk Pharm,26.16601,-29.09424,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Fichardt Prk Pharm,26.17959,-29.14441,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Loch Logan Pharm,26.210723,-29.11314,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Mimosa Mall Pharm,26.2014,-29.108919,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Bethlehem Pharm,28.318281,-28.231803,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Harrismith Pharm,29.12607,-28.27045,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Carnival Pharm,28.317029,-26.251059,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Tsakane Pharm,28.371729,-26.353166,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Selcourt Pharm,28.453155,-26.292603,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Springs Pharm,28.429011,-26.243004,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks The Angelo Pharm,28.457718,-26.422576,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Birch Acres Pharm,28.192758,-26.038828,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Birchleigh N Pharm,28.228626,-26.069158,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Cavendish Pharm,18.464779,-33.980156,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Festival Pharm,28.223466,-26.105573,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Norkem Mall Pharm,28.2199,-26.06312,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Woodbridge Pharm,28.246765,-26.079838,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Atlasville Pharm,28.282117,-26.158848,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Bedfordview Pharm,28.118207,-26.180154,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Benoni Lake Pharm,28.315054,-26.184916,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Eastgate Pharm,28.118207,-26.180154,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Eastrand Pharm,28.24033,-26.181204,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Edenmeadow Pharm,28.138849,-26.12079,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Farrarmere Pharm,28.296322,-26.161866,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Greenstone Pharm,28.140572,-26.119572,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Northmead Sq Pharm,28.32259,-26.16283,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Parkrand Pharm,28.278965,-26.246103,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Village View Pharm,28.136072,-26.184442,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Alberton Pharm,28.122508,-26.26409,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Brackenhurst Pharm,28.107986,-26.309496,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Chris Hani Pharm,28.181692,-26.345492,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Elspark Pharm,28.225372,-26.26839,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Lambton Pharm,28.180248,-26.248139,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Lemon Tree Pharm,28.124371,-26.280631,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Meyersdal Pharm,28.091699,-26.290877,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Rand City Pharm,28.142928,-26.27492,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Broadacres Pharm,27.982826,-26.001355,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Cedar Road Pharm,27.999527,-26.016767,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Lonehill Pharm,28.010816,-26.017821,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Midrand Pharm,28.126857,-25.996804,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Midway Mews Pharm,28.112954,-25.987631,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Sanridge Sq Pharm,28.117922,-25.977225,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Sunninghill Pharm,28.06116,-26.03736,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Appleton's Pharm,27.985099,-26.094231,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Bright Water Pharm,27.990149,-26.101861,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Campus Sq Pharm,28.004728,-26.181984,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Cresta Ctr Pharm,27.974283,-26.130414,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Fourways Gardens P,28.007269,-26.019128,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Heathway Sq Pharm,27.967323,-26.127774,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Hyde Park Pharm,28.033295,-26.125403,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Rosebank Mew Pharm,28.041668,-26.146436,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Rosebank Pharm,28.040078,-26.146848,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Valley Ctr Pharm,28.02248,-26.11505,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Bel Air Mall Pharm,27.956916,-26.060795,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Clear Water Pharm,27.90435,-26.12684,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Featherbrook Pharm,27.871727,-26.091339,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Flora Centre Pharm,27.92725,-26.1671,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Honey Crest Pharm,27.940866,-26.093859,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Northgate Pharm,27.947096,-26.060077,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Olivedale Pharm,27.971997,-26.05389,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Town Square Pharm,27.918969,-26.13687,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Village Hor Pharm,18.484248,-33.804623,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Diepkloof Pharm,27.94954,-26.24238,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Jabulani Pharm,27.858916,-26.250289,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Maponya Mall Pharm,27.901292,-26.259209,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Protea Glen Pharm,27.810966,-26.270575,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Balfour Park Pharm,28.08742,-26.13613,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Bryanston Pharm,28.028066,-26.075253,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Fourways Cross Pha,28.010816,-26.017821,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Killarney Pharm,28.053705,-26.166003,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Melrose Arch Pharm,28.068912,-26.131605,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Norwood Mall Pharm,28.080017,-26.148356,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Rivonia JHB Pharm,28.061074,-26.058906,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Sandton City Pharm,28.051924,-26.107864,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Carlton Ctr Pharm,28.0467,-26.2056,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Columbine Sq Pharm,28.029767,-26.27295,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Comaro View Pharm,28.067076,-26.278813,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Glenvista Pharm,28.053624,-26.286631,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Southdale Pharm,28.02319,-26.2418,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Southgate Pharm,27.982064,-26.266527,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks The Glen Pharm,28.051979,-26.268759,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Protea Gard Pharm,27.84722,-26.286269,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Trade Route Pharm,27.869549,-26.326702,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks River Square Pharm,27.97153,-26.66201,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Riverside B Pharm,27.838205,-26.734119,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Vaal Mall Pharm,27.82526,-26.70898,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Vanderbijl Pharm,27.838205,-26.734119,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Meyerton Pharm,28.018461,-26.560276,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Mabopane Pharm,28.085423,-25.494959,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Northpark Pharm,28.171591,-25.677101,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Wonderpark Pharm,28.110383,-25.673661,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Jubilee Mall Pharm,28.267365,-25.406354,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Kolonnade Pharm,28.250861,-25.67996,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Montana Cros Pharm,28.241146,-25.677659,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Wonderboom J Pharm,28.19274,-25.666453,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Brooklyn Pharm,28.235051,-25.772003,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Fedlife Pharm,0,0,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Gezina Gall Pharm,28.20736,-25.71921,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Hatfield Pl Pharm,28.237173,-25.749611,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Jacaranda Pharm,28.218938,-25.717746,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Mayville Pharm,28.182743,-25.699743,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Northvaal Pharm,28.18956,-25.745017,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Quagga Ctr Pharm,28.147871,-25.747904,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Sunnyside Pharm,28.203181,-25.751137,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Waverley Pl Pharm,28.240414,-25.703423,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Centurion L Pharm,28.186846,-25.857608,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Centurion Pharm,28.186846,-25.857608,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Cornwall V Pharm,28.252507,-25.836869,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Eco Bld Pharm,28.175033,-25.876611,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Eldo Square Pharm,28.140084,-25.836056,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Forest Hill Pharm,28.096551,-25.89272,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Lyttleton Pharm,28.192019,-25.837293,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Mall at Reds Pharm,28.136558,-25.871343,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks South Downs Pharm,28.204093,-25.884745,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Atterbury Pharm,28.308131,-25.78886,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Lynridge Pharm,28.298041,-25.765797,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Menlyn Ph Pharm,28.275212,-25.783534,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Menlyn Ret Pharm,28.276229,-25.78182,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Silver Oaks Pharm,28.359651,-25.765915,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Silverwater Pharm,28.312416,-25.735256,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks The Grove Pharm,28.324028,-25.766159,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Village More Pharm,18.484248,-33.804623,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Watermeyer Pharm,28.294041,-25.744241,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Woodhill Pharm,28.312143,-25.822585,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Bronkhorstspruit Pharm,28.746186,-25.805813,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Carletonvill Pharm,27.397893,-26.358281,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Fochville Pharm,27.494514,-26.492046,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Cradlestone Pharm,27.837724,-26.060235,Peri-Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Key West Pharm,27.783177,-26.087936,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Randfontein Pharm,27.70423,-26.17763,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Amajuba Mall Pharm,30.832294,-29.792141,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Newcastle Pharm,31.064561,-29.753497,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Bluff Pharm,30.999047,-29.848664,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Bridge City Pharm,30.934999,-29.849288,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Chatsworth Pharm,30.858278,-29.811601,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Galleria Pharm,31.061181,-29.723634,Peri-Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Game City Pharm,30.918142,-29.835419,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Gateway Pharm,31.019654,-29.832327,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Kensington S Pharm,31.025307,-29.855854,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Kloof Pharm,31.227893,-29.481355,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks La Lucia Pharm,30.361473,-30.863634,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Lillies Qrt Pharm,30.405983,-30.797021,Peri-Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Montclair Pharm,30.378082,-29.582634,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Musgrave Pharm,24.806709,-27.753773,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Pavilion Pharm,24.763782,-28.766702,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Phoenix Pharm,24.76338,-28.74368,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Pinetown Pharm,24.759269,-28.758164,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Queensburgh Pharm,23.034089,-27.699958,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Reservoir Pharm,21.256782,-28.44478,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Southway Pharm,21.247666,-28.457074,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks The Crescent Pharm,18.862575,-34.073972,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Village Mark Pharm,18.567138,-33.985482,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Westguard Pharm,18.5107,-33.933216,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Westville Pharm,18.484248,-33.804623,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Westwood Pharm,17.986598,-32.921537,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Windermere Pharm,19.434495,-33.632697,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Workshop Pharm,18.860161,-33.935853,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Kokstad Pharm,23.371796,-34.055947,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Ballito Life Pharm,22.504888,-33.985835,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Stanger Pharm,22.457014,-33.960724,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Umhlali Pharm,23.048718,-34.036202,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Hibiscus Pharm,22.103983,-34.148059,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Shelly Beach Pharm,22.115842,-34.185412,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Southcoast Pharm,22.204782,-33.590292,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Scottburgh Pharm,19.238547,-34.420138,Peri-Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Cascades Pharm,23.369316,-34.042526,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Hayfields Pharm,28.02355,-32.940718,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Liberty Mall Pharm,28.155024,-25.754887,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Nedbank Pl Pharm,28.44709,-26.30376,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Pmb Pharm,27.855269,-26.723829,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Victoria Rd Pharm,30.370282,-29.59677,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Howick Pharm,31.061128,-29.763139,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Ladysmith Pharm,28.81179,-30.34502,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Empangeni Pharm,29.34996,-28.72772,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Merensee Pharm,31.039237,-29.78454,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Richards Bay Pharm,31.003572,-29.684302,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Vryheid Pharm,30.793009,-27.766875,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Cycad Pharm,0,0,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Mall North Pharm,0,0,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Pietersburg Pharm,0,0,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Polokwane 2 Pharm,0,0,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Savannah Pharm,0,0,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Thornhill Pharm,0,0,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Phalaborwa Pharm,0,0,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Tzaneen Pharm,0,0,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Tubatse Cros Pharm,28.320045,-25.768334,Rural,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Makhado Pharm,0,0,Peri-Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Ellisras Pharm,0,0,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Modi Mall Pharm,0,0,Peri-Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Hazyview Pharm,0,0,Rural,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks I'Langa Mall Pharm,28.107693,-26.189501,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Riverside Pharm,0,0,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Secunda Reg Pharm,0,0,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Standerton Pharm,30.885902,-30.050931,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
Clicks Ermelo Pharm,30.214182,-31.048181,Urban,Pharmacy/Clinic,,,,,,,,,,,,,,,,,,,,,
Clicks Ben Fleur Pharm,0,0,Urban,Pharmacy,,,,,,,,,,,,,,,,,,,,,
