Facility Name,Longitude,Latitude,Organization Unit Rural_Urban_Semi,Organization Unit Type,Oral Pills (contraception) ,Injectables,IUDs  (contraception) ,Implants (contraception)  ,Female Sterilization (contraception) ,Male Sterilization (contraception) ,Male Medical Circumcision (MMC),TB ,Maternal Health,Mental Health,  Oral health services ,Rehabilitation Services,Minor Ailments,Sexually Transmitted Infections Screenings,HIV Testing ,HIV Treatment (ART) ,Oral PrEP ,Termination of Pregnancy - 1st Trimester,Termination of Pregnancy - 2nd Trimester,AYFS Accredited,CCMDD Pick Up Point,Physical Address
Rietspruit Clinic,27.757623,-26.7032,Urban,Clinic,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,,Not Registered,
Heidelberg Clinic,28.35737,-26.5014,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Welverdiend Clinic,27.282749,-26.3783,Urban,Clinic,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Elandsfontein Clinic,27.64907,-26.1666,Urban,Clinic,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Riverside Clinic,29.71081,-30.0844,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Mpumelelo Clinic,31.29159,-29.1918,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Hlomendlini Clinic,31.396888,-29.1859,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Nkwalini Clinic,31.525151,-28.7261,Rural,Clinic,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Thembalesizwe Clinic,30.151059,-30.8609,Rural,Clinic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Philani Clinic,30.68312,-30.2513,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Woodlands Clinic,30.392693,-29.5799,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Richmond Clinic,30.273773,-29.8688,Peri-Urban,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Registered,
Elandskraal Clinic,30.336806,-28.3742,Rural,Clinic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Ethembeni Clinic,30.497734,-28.8567,Rural,Clinic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Driefontein Clinic,29.702434,-28.3432,Rural,Clinic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
KwaZamokuhle Clinic,29.8385,-28.7366,Rural,Clinic,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Not Registered,
Zwelisha Clinic,29.736631,-29.0593,Peri-Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
St Francis Hospital,31.476734,-28.2246,Rural,Specialised Psychiatric Hospital,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Sipetu Hospital,29.18731,-31.0917,Rural,District Hospital,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,,Registered,
Schoongezicht Clinic,29.04323,-23.3366,Rural,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,,Registered,
Uitkyk Clinic,29.127779,-23.2711,Rural,Clinic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Nthabiseng Clinic,27.67318,-23.6856,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Goedgevonden Clinic,28.93106,-23.6474,Rural,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Elandskraal Clinic,29.41202,-24.7142,Peri-Urban,Clinic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Beaconsfield Clinic,30.11881,-22.9214,Rural,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Kulani Clinic,30.03227,-23.0911,Rural,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Sterkstroom Clinic,30.6475,-22.8713,Rural,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Witpoort Hospital,28.01118,-23.3344,Peri-Urban,District Hospital,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Madzikane kaZulu Memorial Hospital,28.99562,-30.9009,Urban,District Hospital,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,,Not Registered,
Kromdraai Clinic,27.87869,-24.9597,Rural,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,,Registered,
Welverdiend Clinic,31.32917,-24.5809,Rural,Clinic,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Nkwalini Clinic,31.3286,-25.5054,Rural,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,,Registered,
Zwelisha Clinic,31.1708,-25.3673,Rural,Clinic,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Elandsfontein Clinic,30.7619,-24.6218,Rural,Clinic,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Glenmore Clinic,30.8519,-26.254,Rural,Clinic,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Kromdraai Clinic,31.0239,-26.046,Peri-Urban,Clinic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Mooiplaas Clinic,30.8769,-26.0671,Rural,Clinic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Vlakplaas Clinic,30.98007,-26.1399,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Balfour Clinic,28.57869,-26.6342,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Sinqobile Clinic,29.888311,-27.137486,Rural,Clinic,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Sead Clinic,29.4315,-26.4996,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Vaalbank Clinic,28.8499,-25.1466,Urban,Clinic,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Weltevrede Clinic,29.0017,-25.0946,Rural,Clinic,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Klipfontein Clinic,29.17414,-25.8668,Urban,Clinic,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Kulani Clinic,30.031702,-23.091199,Urban,Clinic,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Registered,
Poly Clinic,29.189,-25.8821,Urban,Clinic,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Rietspruit Clinic,29.20243,-26.162,Peri-Urban,Clinic,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Schoongezicht Clinic,29.216669,-25.874709,Urban,Clinic,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,Registered,
Kwazamokuhle Clinic,29.7295,-26.1351,Urban,Clinic,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Middelburg Mobile 1,29.45133,-25.7741,Urban,Mobile Service,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Middelburg Mobile 2,29.45133,-25.7741,Urban,Mobile Service,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Middelburg Mobile 3,29.45133,-25.7741,Urban,Mobile Service,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Beaconsfield Clinic,24.78461,-28.7577,Urban,Clinic,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Maruping Clinic,23.36766,-27.3461,Rural,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Ethembeni Clinic,22.435,-29.3935,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Richmond Clinic,23.95385,-31.4199,Urban,Clinic,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Uitkyk Clinic,26.43042,-25.2035,Rural,Clinic,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Vlakplaas Clinic,26.87841,-25.0034,Rural,Clinic,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Freedom Park Clinic,27.238286,-25.674347,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Empilisweni Clinic,26.60393,-26.8869,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Kanana Clinic,26.63979,-26.9637,Urban,Clinic,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Goedgevonden Clinic,26.89828,-26.1595,Rural,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Kgotso Clinic,27.12989,-26.3525,Rural,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Maruping Clinic,26.55,-25.95,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Weltevrede Clinic,25.49104,-26.3171,Rural,Clinic,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Driefontein Clinic,25.97389,-25.1422,Rural,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Bergsig Clinic,19.89117,-33.7905,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Claremont Clinic,18.46612,-33.9819,Urban,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Victoria Hospital,18.45925,-34.0117,Urban,District Hospital,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Masincedane Clinic,18.57834,-33.9851,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,,Registered,
Silvertown Clinic,18.53469,-33.9664,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,,Registered,
Rocklands Clinic,18.61075,-34.0647,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Heidelberg Clinic,20.96278,-34.1022,Urban,Clinic,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Afsondering Clinic,28.94812,-30.17988,Rural,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,,Registered,
Elukholweni Clinic,28.84811,-30.6329,Rural,Clinic,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Isilindini Clinic,28.59078,-30.62,Rural,Clinic,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
SS Gida Hospital,27.1435,-32.6745,Peri-Urban,District Hospital,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Khotsong TB Hospital,28.82118,-30.3481,Urban,Specialised TB Hospital,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,,Not Registered,
Likhetlane Clinic,28.52615,-30.357,Rural,Clinic,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Madlangala Clinic,27.898844,-33.0018,Rural,Clinic,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Magadla Clinic,28.682489,-30.338,Rural,Clinic,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Maluti CHC,28.78891,-30.2658,Rural,Community Health Centre,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,Registered,
Maluti Mobile 1,28.78891,-30.2658,Rural,Mobile Service,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Matatiele Community Clinic,28.81461,-30.3343,Urban,Clinic,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Matatiele Mobile 1,28.82437,-30.357,Urban,Mobile Service,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Matatiele Mobile 2,28.82437,-30.357,Urban,Mobile Service,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,,Not Registered,
Mount Hargreaves Clinic,28.70661,-30.406,Rural,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Mpharane Clinic,28.47763,-30.2639,Rural,Clinic,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Mvenyane Clinic,29.03634,-30.5525,Rural,Clinic,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Mzongwana Clinic,29.05207,-30.1677,Rural,Clinic,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Ntlola Clinic,29.07986,-30.5979,Rural,Clinic,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Nyaniso Clinic,28.733564,-30.5588,Rural,Clinic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,,Registered,
Queen's Mercy Clinic,28.56883,-30.2544,Rural,Clinic,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Rolweni Clinic,28.81228,-30.5593,Rural,Clinic,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Shepherds Hope Clinic,28.59292,-30.3468,Rural,Clinic,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Thabachicha Clinic,28.39098,-30.3631,Rural,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Umtumase Clinic,28.543328,-30.5651,Rural,Clinic,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Amadiba Clinic,30.179245,-31.0731,Rural,Clinic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Amandengane Clinic,29.75053,-31.0861,Rural,Clinic,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Not Registered,
Amantshangase Clinic,29.58773,-30.8396,Rural,Clinic,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
Baleni Clinic,29.97147,-31.1591,Rural,Clinic,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,,Registered,
